pairkey,band,method,ok,ssim_edges,out_path,extra,flag_low_ssim
IMG_210204_095113_0000_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095113_0000__RED.tif,{},0
IMG_210204_095113_0000_,REG,ORB_RANSAC,1,0.17152748626764597,artifacts\aligned\REG\IMG_210204_095113_0000__REG.tif,"{""inliers"": 33, ""matches"": 500, ""homography"": [[1.31251060962677, 0.0856761485338211, -69.67745208740234], [0.27859726548194885, 1.3458179235458374, -170.78125], [0.0004219422989990562, 0.00021705149265471846, 1.0]]}",1
IMG_210204_095113_0000_,NIR,ORB_RANSAC,1,0.15448163605659748,artifacts\aligned\NIR\IMG_210204_095113_0000__NIR.tif,"{""inliers"": 17, ""matches"": 500, ""homography"": [[0.23674240708351135, -0.035246264189481735, 37.26142501831055], [-0.49810823798179626, -0.009027579799294472, 307.78857421875], [-0.0007790142553858459, -0.0008022509282454848, 1.0]]}",1
IMG_210204_095113_0000_,GRE,ORB_RANSAC,1,0.48162790026980157,artifacts\aligned\GRE\IMG_210204_095113_0000__GRE.tif,"{""inliers"": 423, ""matches"": 500, ""homography"": [[1.0011637210845947, -0.0010722363367676735, 15.629450798034668], [0.00036255031591281295, 1.0002707242965698, -18.741535186767578], [1.3169901649234816e-06, -6.494379931609728e-07, 1.0]]}",1
IMG_210204_095115_0001_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095115_0001__RED.tif,{},0
IMG_210204_095115_0001_,REG,ORB_RANSAC,1,0.20617413515321845,artifacts\aligned\REG\IMG_210204_095115_0001__REG.tif,"{""inliers"": 40, ""matches"": 500, ""homography"": [[1.2456027269363403, -0.10540387779474258, 9.343120574951172], [0.85099196434021, 0.6405688524246216, 3.9394593238830566], [0.00087637611432001, -0.00033817702205851674, 1.0]]}",1
IMG_210204_095115_0001_,NIR,ORB_RANSAC,1,0.18710582910768,artifacts\aligned\NIR\IMG_210204_095115_0001__NIR.tif,"{""inliers"": 24, ""matches"": 500, ""homography"": [[0.20335939526557922, -0.24654854834079742, 201.81898498535156], [0.09896878898143768, -0.6652752161026001, 689.7259521484375], [0.00011762249050661922, -0.000998056260868907, 1.0]]}",1
IMG_210204_095115_0001_,GRE,ORB_RANSAC,1,0.5558124561087899,artifacts\aligned\GRE\IMG_210204_095115_0001__GRE.tif,"{""inliers"": 408, ""matches"": 500, ""homography"": [[0.9996219277381897, -0.0008206783677451313, 15.693785667419434], [-0.0013794135302305222, 0.9990409016609192, -17.67061996459961], [-2.881690761569189e-07, -9.58740315581963e-07, 1.0]]}",1
IMG_210204_095117_0002_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095117_0002__RED.tif,{},0
IMG_210204_095117_0002_,REG,ORB_RANSAC,1,0.17314031102309568,artifacts\aligned\REG\IMG_210204_095117_0002__REG.tif,"{""inliers"": 8, ""matches"": 500, ""homography"": [[-1.111756682395935, -0.17189083993434906, 577.1533203125], [-0.566383421421051, -0.09229423105716705, 295.8253173828125], [-0.0019227929878979921, -0.00030050522764213383, 1.0]]}",1
IMG_210204_095117_0002_,NIR,ORB_RANSAC,1,0.1452544450785464,artifacts\aligned\NIR\IMG_210204_095117_0002__NIR.tif,"{""inliers"": 9, ""matches"": 500, ""homography"": [[-0.9839756488800049, -0.3897841274738312, 779.5458984375], [-1.1705585718154907, -0.466050386428833, 929.0875244140625], [-0.0012648706324398518, -0.000497559318318963, 1.0]]}",1
IMG_210204_095117_0002_,GRE,ORB_RANSAC,1,0.53030111619088,artifacts\aligned\GRE\IMG_210204_095117_0002__GRE.tif,"{""inliers"": 310, ""matches"": 500, ""homography"": [[1.00040864944458, -7.069095772749279e-06, 15.175638198852539], [-0.00027776212664321065, 1.0001099109649658, -18.10770606994629], [2.2939580901493173e-07, -1.3487404260104086e-07, 1.0]]}",1
IMG_210204_095119_0003_,RED,IDENTITY,1,1.0,artifacts\aligned\RED\IMG_210204_095119_0003__RED.tif,{},0
IMG_210204_095119_0003_,REG,ORB_RANSAC,1,0.19425783234824384,artifacts\aligned\REG\IMG_210204_095119_0003__REG.tif,"{""inliers"": 10, ""matches"": 500, ""homography"": [[-7.503886699676514, -0.8616795539855957, 1844.08984375], [-0.5688201785087585, -5.4748029708862305, 715.2559814453125], [-0.0065162996761500835, -0.004852231591939926, 1.0]]}",1
