pairkey,white_ratio,fallback,fallback_percentile
IMG_210204_095113_0000_,0.03384971618652344,1,93.0
IMG_210204_095115_0001_,0.02886199951171875,1,96.0
IMG_210204_095117_0002_,0.028494834899902344,1,95.0
IMG_210204_095119_0003_,0.030742645263671875,1,96.0
IMG_210204_095121_0004_,0.03330421447753906,1,93.0
IMG_210204_095123_0005_,0.02876758575439453,1,96.0
IMG_210204_095125_0006_,0.03070545196533203,1,96.0
IMG_210204_095127_0007_,0.028740882873535156,1,97.0
IMG_210204_095129_0008_,0.031087875366210938,1,95.0
IMG_210204_095131_0009_,0.03176689147949219,1,95.0
IMG_210204_095132_0010_,0.02887725830078125,1,95.0
IMG_210204_095134_0011_,0.03048992156982422,1,96.0
IMG_210204_095136_0012_,0.03326225280761719,1,95.0
IMG_210204_095138_0013_,0.03238868713378906,1,95.0
IMG_210204_095140_0014_,0.03056621551513672,1,96.0
IMG_210204_095142_0015_,0.030986785888671875,1,97.0
IMG_210204_095144_0016_,0.032074928283691406,1,97.0
IMG_210204_095146_0017_,0.0276947021484375,1,95.0
IMG_210204_095148_0018_,0.02705097198486328,1,97.0
IMG_210204_095149_0019_,0.030707359313964844,1,96.0
IMG_210204_095151_0020_,0.030323028564453125,1,92.0
IMG_210204_095153_0021_,0.030028343200683594,1,95.0
IMG_210204_095155_0022_,0.032227516174316406,1,95.0
IMG_210204_095219_0023_,0.02947235107421875,1,93.0
IMG_210204_095221_0024_,0.028167724609375,1,93.0
IMG_210204_095223_0025_,0.02767467498779297,1,95.0
IMG_210204_095225_0026_,0.032001495361328125,1,96.0
IMG_210204_095227_0027_,0.029348373413085938,1,96.0
IMG_210204_095229_0028_,0.02803802490234375,1,97.0
IMG_210204_095230_0029_,0.028575897216796875,1,96.0
IMG_210204_095232_0030_,0.031149864196777344,1,96.0
IMG_210204_095234_0031_,0.030185699462890625,1,96.0
IMG_210204_095236_0032_,0.032502174377441406,1,96.0
IMG_210204_095238_0033_,0.027205467224121094,1,97.0
IMG_210204_095239_0034_,0.028644561767578125,1,97.0
IMG_210204_095241_0035_,0.03323650360107422,1,97.0
IMG_210204_095243_0036_,0.02791881561279297,1,97.0
IMG_210204_095245_0037_,0.03155326843261719,1,95.0
IMG_210204_095247_0038_,0.03196525573730469,1,96.0
IMG_210204_095249_0039_,0.03112506866455078,1,96.0
IMG_210204_095250_0040_,0.03182792663574219,1,96.0
IMG_210204_095252_0041_,0.031744956970214844,1,96.0
IMG_210204_095254_0042_,0.031531333923339844,1,96.0
IMG_210204_095256_0043_,0.02846527099609375,1,96.0
IMG_210204_095258_0044_,0.030855178833007812,1,93.0
IMG_210204_095300_0045_,0.030487060546875,1,95.0
IMG_210204_095302_0046_,0.026017189025878906,1,95.0
IMG_210204_095303_0047_,0.03012371063232422,1,95.0
IMG_210204_095305_0048_,0.031314849853515625,1,95.0
IMG_210204_095307_0049_,0.028847694396972656,1,96.0
IMG_210204_095309_0050_,0.03232383728027344,1,93.0
IMG_210204_095311_0051_,0.02834796905517578,1,96.0
IMG_210204_095313_0052_,0.029260635375976562,1,97.0
IMG_210204_095314_0053_,0.030597686767578125,1,97.0
IMG_210204_095316_0054_,0.03111743927001953,1,96.0
IMG_210204_095318_0055_,0.030752182006835938,1,95.0
IMG_210204_095320_0056_,0.027001380920410156,1,93.0
IMG_210204_095322_0057_,0.026983261108398438,1,95.0
